"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 07:23:51 CST 2023","Thu Dec 28 07:23:51 CST 2023","1","test_case","test_case","TestLogin","","","test_01[data0]",""
"passed","Thu Dec 28 07:23:51 CST 2023","Thu Dec 28 07:23:52 CST 2023","1377","test_case","test_case","TestLogin","","","百度搜索","
            百度搜索
            :param browser:
            :param data:
            :return:
        "
"failed","Thu Dec 28 07:23:52 CST 2023","Thu Dec 28 07:23:52 CST 2023","462","test_case","test_case","TestLogin","","","百度搜索","
            百度搜索
            :param browser:
            :param data:
            :return:
        "
"passed","Thu Dec 28 07:23:51 CST 2023","Thu Dec 28 07:23:51 CST 2023","1","test_case","test_case","TestLogin","","","test_01[data1]",""
"passed","Thu Dec 28 07:23:53 CST 2023","Thu Dec 28 07:23:53 CST 2023","0","test_case","test_case","TestLogin","","","test03",""
